timestamp,X,CS,U
0.0,"[3.931754835053326, 45.255094822236444, -115.0, 7.026087849582189e-05, -6.23003438075291e-05, -0.0006477884051515046]","[0.0, 9.390380123051982e-05]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
0.5,"[3.9317548349466436, 45.25509482194224, -115.00032389420257, 0.00014023492169145473, -0.00012568450445041225, -0.0012772724942771766]","[-113.4365853490929, 0.00018831470447300215]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
1.0,"[3.9317548347358593, 45.25509482135112, -115.00096253044971, 0.00020992336908510535, -0.00019010092765322587, -0.0018889740545847296]","[-113.13162858135422, 0.00028320696245441845]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
1.5,"[3.931754834423475, 45.25509482046054, -115.001907017477, 0.00027932745321989527, -0.0002554996798991399, -0.002483399959121671]","[-112.83590013079248, 0.0003785550323940705]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
2.0,"[3.931754834011908, 45.25509481926804, -115.00314871745655, 0.00034844839976506123, -0.0003218324010340753, -0.003061042593419676]","[-112.54906420297941, 0.0004743336185156917]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
2.5,"[3.931754833503506, 45.255094817771344, -115.00467923875324, 0.00041728742759536484, -0.0003890522582337863, -0.0036223802699273575]","[-112.27079918646547, 0.0005705177095112523]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
3.0,"[3.931754832900537, 45.25509481596831, -115.00649042888821, 0.00048584574886875785, -0.0004571139012948402, -0.004167877630581249]","[-112.00079731985173, 0.0006670826114139335]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
3.5,"[3.9317548322052005, 45.25509481385692, -115.0085743677035, 0.0005541245691023486, -0.0005259734192115825, -0.004697986037854825]","[-111.73876394449111, 0.0007640039762985443]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
4.0,"[3.931754831419629, 45.25509481143525, -115.01092336072244, 0.0006221250872467127, -0.0005955882980022623, -0.005213143954615607]","[-111.48441701990171, 0.000861257827191696]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
4.5,"[3.931754830545881, 45.25509480870154, -115.01352993269975, 0.0006898484957585937, -0.0006659173797485417, -0.005713777313110927]","[-111.23748649784524, 0.0009588205795411142]","[0.0, 0.391304347826087, 0.5, 0.0, 0.5, 0.0, 0.5]"
5.0,"[3.931754829585956, 45.255094805654146, -115.01638682135632, 0.0007875910581130503, -0.0007369208228136415, -0.006200381401701456]","[-110.99771366669025, 0.0010785879537228147]","[0.031690140845070415, 0.40173913043478265, 0.5, 0.0125, 0.5125, 0.0125, 0.48750000000000004]"
5.5,"[3.9317548284528057, 45.25509480224318, -115.01948701205718, 0.0009227609731944017, -0.0008085597691403242, -0.00667383993478373]","[-111.88725349620702, 0.0012268890389611172]","[0.06338028169014083, 0.41217391304347833, 0.5, 0.025, 0.525, 0.025, 0.475]"
6.0,"[3.931754827037571, 45.25509479840711, -115.02282393202456, 0.0011036419502379366, -0.0008807976300335377, -0.007135499380259466]","[-113.75438441701189, 0.001412030459798121]","[0.09507042253521124, 0.42260869565217396, 0.5, 0.0375, 0.5375, 0.0375, 0.4625]"
6.5,"[3.931754825207025, 45.255094794071226, -115.0263916817147, 0.001339411630107959, -0.000953601156154103, -0.007587155664443706]","[-116.38441152810859, 0.0016441954506344135]","[0.1267605633802817, 0.4330434782608696, 0.5, 0.05, 0.55, 0.05, 0.44999999999999996]"
7.0,"[3.931754822800946, 45.25509478914629, -115.03018525954691, 0.0016401594451304078, -0.0010269414679532545, -0.0080310412560406]","[-119.52444333811272, 0.0019351309475207283]","[0.15845070422535215, 0.44347826086956527, 0.5, 0.0625, 0.5625, 0.0625, 0.4375]"
7.5,"[3.9317548196294645, 45.25509478352696, -115.03420078017494, 0.0020169039129040835, -0.0011007950478251957, -0.00846981261922396]","[-122.91818775724167, 0.0022977491445334668]","[0.1901408450704226, 0.45391304347826095, 0.5, 0.075, 0.575, 0.075, 0.425]"
8.0,"[3.931754815470342, 45.25509477709039, -115.03843568648455, 0.0024816093596233143, -0.0011751446952379372, -0.008906538026313398]","[-126.34076810401476, 0.0027457876954556956]","[0.22183098591549305, 0.46434782608695657, 0.5, 0.0875, 0.5875, 0.0875, 0.4125]"
8.5,"[3.931754810066213, 45.25509476969462, -115.0428889554977, 0.003047202068552989, -0.00124998044608912, -0.009344685720999701]","[-129.6220731006008, 0.0032936137542521242]","[0.2535211267605635, 0.47478260869565225, 0.5, 0.1, 0.6, 0.1, 0.39999999999999997]"
9.0,"[3.931754803121786, 45.255094761177, -115.04756129835819, 0.0037275858494041133, -0.001325300457523389, -0.00978811242354594]","[-132.65338025354936, 0.0039561746128538725]","[0.285211267605634, 0.48521739130434793, 0.5, 0.1125, 0.6124999999999999, 0.1125, 0.3875]"
9.5,"[3.931754794300982, 45.255094751352644, -115.05245535456994, 0.00453765702446428, -0.0014011118594412857, -0.01024105216987442]","[-135.38017801009062, 0.004749046821661905]","[0.3169014084507044, 0.49565217391304345, 0.5, 0.125, 0.625, 0.125, 0.37499999999999994]"
10.0,"[3.931754783224066, 45.25509474001273, -115.05757588065488, 0.0054933188274425135, -0.0014774315739266573, -0.010708105476944741]","[-137.78820106865473, 0.005688528438495302]","[0.34859154929577485, 0.5060869565217392, 0.5, 0.1375, 0.6375000000000001, 0.1375, 0.36249999999999993]"
10.5,"[3.9317547694647055, 45.25509472692287, -115.06292993339336, 0.006611495211091804, -0.0015542871038203374, -0.011194228827335555]","[-139.8889028548458, 0.006791735958309338]","[0.3802816901408453, 0.5165217391304348, 0.5, 0.15, 0.65, 0.15, 0.3499999999999999]"
