timestamp,X,CS,U
5.0,"[51.293493577645975, 4.262344606957451, -140.02146828018357, 0.0011968038724021837, -0.002589562787336011, -0.008127282997016832]","[-61.854293202483724, 0.0028527486637543644]","[0.04831932773109242, 0.43656699442877267, 0.5, 0.05333333333333334, 0.55, 0.05, 0.44999999999999996]"
10.0,"[51.29349323849541, 4.26234455289743, -140.10708723592177, 0.01608000774311478, -0.00902051585978388, -0.047281770418271175]","[-100.65834383303658, 0.01843736302715884]","[0.36698770715864365, 0.4491635253068669, 0.5, 0.5866666666666666, 1.0000000049067765, 0.5499999999999999, -4.918177611200138e-09]"
15.0,"[51.293491622705076, 4.262344201938247, -140.71747066499873, 0.04877497443468296, -0.03961579614084918, -0.24568813787777505]","[-91.61223299719263, 0.0628363703198816]","[0.4813977489346113, 0.456195890623139, 0.5, 0.9999999950437665, 1.0000000049562334, 0.9999999950383558, -4.9616440321388825e-09]"
20.0,"[51.29348756875293, 4.262344475441387, -142.45724867154968, 0.09019094573723867, -0.08425727935878981, -0.4602303963744371]","[-84.57071621466602, 0.12342485899494751]","[0.5452703514247559, 0.4618018114286786, 0.5, 0.9999999951332864, 1.0000000048667135, 0.9999999951170253, -4.882974500932035e-09]"
25.0,"[51.29348079562749, 4.262345425604625, -145.12528024984059, 0.13854275674714617, -0.12170935078041158, -0.6105206858384944]","[-83.45149527159623, 0.1844105786404028]","[0.5872151272315468, 0.4661339568097917, 0.5, 0.9999999951446876, 0.9500000048667133, 0.999999995127048, 0.04999999511702555]"
30.0,"[51.29347153939481, 4.262346341028839, -148.15007893459608, 0.1919349068543404, -0.1242978176657751, -0.5473627534073765]","[-88.00909813541111, 0.22866778510681954]","[0.6156472898195237, 0.4692643342517208, 0.5, 0.999999995056703, 0.45000000486671315, 0.9999999950496825, 0.5499999951170257]"
35.0,"[51.293460641369904, 4.262344799678622, -150.30202504467502, 0.24825743912658252, -0.08387541831370782, -0.25553750049343843]","[-99.6346243348046, 0.2620435877463677]","[0.6362500277704675, 0.47153269305085915, 0.5, 0.9999999951532406, -4.846759105170406e-09, 0.9999999951400581, 1.0000000048599416]"
40.0,"[51.293448598260845, 4.2623386820892994, -150.88280101156627, 0.3059461130584992, -0.03562709791051904, 0.036719544474198215]","[-111.50220184716049, 0.30801349678403656]","[0.6556449575954881, 0.4736680723277243, 0.5, 0.9999999950608279, -4.939171849294155e-09, 0.9999999950532931, 1.0000000049467068]"
45.0,"[51.29343531284552, 4.262327692814962, -150.1996165745843, 0.36481640115943714, 0.005614837052355392, 0.2431980047579303]","[-119.81664890624624, 0.36485960717794985]","[0.6757498611434003, 0.475881619623799, 0.5, 0.9466666617274946, 0.04999999506082812, 0.9999999951471165, 1.0000000048528832]"
50.0,"[51.2934211549349, 4.262310759211854, -148.79270115585223, 0.4249821547520246, 0.08077699261072029, 0.30654781500739275]","[-130.9789621700081, 0.43259074700333816]","[0.6920749695064047, 0.47767901195452755, 0.5, 0.5199999950608276, 0.5499999950608283, 0.9999999951521598, 0.9500000048528832]"
55.0,"[51.29340661975732, 4.262286881169589, -147.3887101884255, 0.4855956883967648, 0.12620341958401193, 0.20928221396735977]","[-136.92055784348716, 0.5017274914774215]","[0.7076334841989901, 0.4793920024207939, 0.5, 0.9999999951694206, 1.0000000048305788, 0.9999999951549369, 0.450000004852883]"
60.0,"[51.2933906295858, 4.2622588778139345, -146.81763663194613, 0.5465627555187013, 0.11038014114833362, -0.009729830254201512]","[-135.17475779540848, 0.5575971855023316]","[0.7246778875897476, 0.4812685812110127, 0.49426817074779794, 0.9999999951728681, 1.0000000048271311, 0.9999999951579522, -4.842047318653897e-09]"
65.0,"[51.29337150571909, 4.262230360906524, -147.30558692170115, 0.6099628399968435, 0.07002996641657801, -0.19236998990842488]","[-129.75060083524806, 0.6139697568881728]","[0.7413262468892498, 0.4831015682469909, 0.496440363011239, 0.9999999951764672, 1.000000004823532, 0.9999999951612603, -4.8387392505487375e-09]"
70.0,"[51.29334879540163, 4.262202043280038, -148.5667181301102, 0.6741224672974205, 0.036335042490307015, -0.3159112746642556]","[-124.96639757355202, 0.67510098224483]","[0.7551589757694852, 0.4846245521224361, 0.4981320027914182, 0.9999999951799198, 1.0000000048200797, 0.9999999951644915, -4.835507787832277e-09]"
75.0,"[51.29332243831155, 4.262174179121712, -150.34069195266872, 0.7380962414503203, 0.008557180396400306, -0.3935874985127093]","[-120.70342316760487, 0.7381458439762606]","[0.7666056126107369, 0.48588482611589573, 0.4994936430684368, 0.9999999951829169, 0.9500000048200795, 0.9999999951671682, 0.04999999516449218]"
80.0,"[51.29329258489539, 4.262146704752132, -152.26754490338564, 0.8012259116423481, 0.0016846490966651246, -0.34701583679486575]","[-117.99601959531846, 0.8012276827030447]","[0.7751681781459897, 0.48682756353716367, 0.4999458831043238, 0.9999999951853454, 0.45000000482007935, 0.999999995169384, 0.5499999951644924]"
85.0,"[51.29325983858773, 4.262118293340375, -153.66186605739827, 0.8627595336209797, 0.018580838562151907, -0.1799576087470972]","[-117.52285619049036, 0.8629595937328486]","[0.7818265047932992, 0.4875606443265261, 0.49925670944308725, 0.9999999951871581, -4.812840840148373e-09, 0.999999995171041, 1.0000000048289581]"
90.0,"[51.293224781763534, 4.26208749914877, -154.17932839214546, 0.9223062889003933, 0.03932552083630741, -0.02065829299848869]","[-118.17970013822193, 0.9231442937776644]","[0.7888993954066879, 0.48833936818331786, 0.49829770629235987, 0.9999999951885594, -4.811439342183072e-09, 0.9999999951723291, 1.0000000048276698]"
95.0,"[51.29318768368461, 4.262053795206233, -154.0182574845903, 0.9801347778963451, 0.05554654146203445, 0.08899096390711199]","[-119.12035558265377, 0.9817074926424424]","[0.7968568950501967, 0.48921548726655084, 0.49756649259610214, 0.9999999951900412, -4.809957511651776e-09, 0.9999999951736976, 1.0000000048263014]"
100.0,"[51.29314874056195, 4.262016892219735, -153.395906710135, 1.0366107930027737, 0.06837870334446144, 0.16151481856472216]","[-120.24455374506775, 1.0388636018462236]","[0.8051310304380248, 0.49012646794660525, 0.49701762147734097, 0.9466666618567079, -4.638803151126224e-09, 0.9999999951742583, 1.0000000048257405]"
105.0,"[51.29310821163332, 4.261976313783189, -152.51320232715838, 1.0918937178704449, 0.0866078400448986, 0.18904679477121164]","[-121.89779177510127, 1.0953231528102496]","[0.812664387358524, 0.49095588857495565, 0.4962253273794565, 0.8079557759175131, 0.0499999953611969, 0.9499999951742583, 0.9500000048257404]"
110.0,"[51.293066144181715, 4.261932225308808, -151.60020076801516, 1.145871402803841, 0.08266717181270512, 0.1601635691664822]","[-122.5132348731959, 1.1488494823340234]","[0.8204845044127407, 0.4918168826919533, 0.496344961652977, 0.9999999951952928, 0.549999995361197, 0.9921016197527452, 0.45000000482574026]"
115.0,"[51.293022150549206, 4.261885942633622, -150.99957355224967, 1.1986994523639811, 0.0655694736371479, 0.06170272186673523]","[-122.20881071010128, 1.200491454767905]","[0.8278950967419774, 0.4926327888919678, 0.4970713343362675, 0.9999999951969775, 1.0000000048030204, 0.9999999951797827, -4.820215496589445e-09]"
